year,country,co2,avg_yly_tmp_f,avg_yly_tmp_c,avg_yly_tmp_uncertainty
1832,CANADA,1,21.3299,-5.927833333,2.906
1832,FRANCE,1823,54.3629,12.42383333,2.72
1832,GERMANY,941,45.80945,7.6719166670000005,2.7635
1832,HUNGARY,24,47.84795,8.804416667,2.7599166669999997
1832,POLAND,282,43.44155,6.356416667,2.676333333
1832,SPAIN,1,55.9493,13.30516667,2.633666667
1832,UNITED KINGDOM,17901,47.201,8.445,2.6295833330000002
1832,UNITED STATES,825,46.84535,8.247416667000001,2.2
1833,AUSTRIA,117,42.9098,6.061,2.121166667
1833,BELGIUM,1246,48.8504,9.361333333,2.126583333
1833,CANADA,1,22.553,-5.248333333,2.48925
1833,FRANCE,1978,54.7247,12.62483333,2.183833333
1833,GERMANY,1195,46.6001,8.111166667,2.091416667
1833,HUNGARY,18,49.3688,9.649333333,2.176166667
1833,POLAND,293,45.5804,7.544666667,2.13025
1833,SPAIN,1,55.8365,13.2425,2.052666667
1833,UNITED KINGDOM,17875,47.06375,8.36875,2.1069999999999998
1833,UNITED STATES,963,47.86145,8.811916667,1.7589166669999998
1834,AUSTRIA,160,45.37415,7.430083333,2.20625
1834,BELGIUM,1203,51.40775,10.78208333,2.3819999999999997
1834,CANADA,1,22.08665,-5.507416667,2.553
1834,FRANCE,2435,56.38835,13.54908333,2.3111666669999997
1834,GERMANY,1204,49.11995,9.511083333,2.223833333
1834,HUNGARY,19,51.52655,10.84808333,2.32475
1834,POLAND,308,47.70665,8.725916667,2.2400833330000003
1834,SPAIN,1,57.5669,14.20383333,2.2455
1834,SWEDEN,9,37.121,2.845,2.237083333
1834,UNITED KINGDOM,17887,48.8732,9.374,2.335666667
1834,UNITED STATES,923,47.89325,8.829583332999999,1.956083333
1835,AUSTRIA,173,42.24455,5.691416667,1.750583333
1835,BELGIUM,1299,48.8531,9.362833333,1.84875
1835,CANADA,1,20.438,-6.4233333329999995,2.48
1835,FRANCE,2527,54.07505,12.26391667,1.9535
1835,GERMANY,1346,46.32575,7.95875,1.779916667
1835,HUNGARY,14,48.479,9.155,1.8785833330000001
1835,NORWAY,4,31.12145,-0.48808333299999995,2.111583333
1835,POLAND,330,44.83895,7.13275,1.7923333330000002
1835,SPAIN,1,55.5848,13.10266667,1.7695
1835,UNITED KINGDOM,17812,47.08475,8.380416667,1.882166667
1835,UNITED STATES,1178,45.57065,7.53925,1.8380833330000002
1836,AUSTRIA,184,43.1465,6.1925,1.9790833330000002
1836,BELGIUM,1528,49.03865,9.465916667,2.1095
1836,CANADA,1,21.07745,-6.068083333,2.5355
1836,FRANCE,2903,54.3629,12.42383333,2.2215
1836,GERMANY,1417,46.55015,8.083416667,1.9810833330000002
1836,HUNGARY,23,49.77785,9.876583333,2.1516666669999998
1836,NORWAY,5,30.01565,-1.102416667,2.30625
1836,POLAND,374,45.6395,7.5775,2.049833333
1836,SPAIN,6,55.83665,13.24258333,2.1709166669999997
1836,UNITED KINGDOM,20864,46.1444,7.858,2.093416667
1836,UNITED STATES,1291,45.61505,7.563916667000001,1.9199166669999999
1837,AUSTRIA,193,41.3738,5.207666667,2.010583333
1837,BELGIUM,1637,47.8247,8.7915,2.1655833330000003
1837,CANADA,1,21.15005,-6.02775,2.504916667
1837,FRANCE,3098,53.7503,12.0835,2.21525
1837,GERMANY,1624,45.1451,7.302833333,2.0405
1837,HUNGARY,19,47.43995,8.57775,2.1183333330000003
1837,NORWAY,7,30.95045,-0.5830833329999999,2.3169999999999997
1837,POLAND,402,43.84355,6.57975,2.0758333330000003
1837,SPAIN,10,55.8002,13.22233333,2.12825
1837,UNITED KINGDOM,20134,46.1558,7.864333332999999,2.0905
1837,UNITED STATES,1448,46.37195,7.9844166670000005,1.9185
1838,AUSTRIA,232,40.48805,4.7155833330000005,2.327583333
1838,BELGIUM,1671,46.613,8.118333332999999,2.4295
1838,CANADA,1,20.78195,-6.23225,2.4169166669999997
1838,FRANCE,3239,53.4713,11.9285,2.451666667
1838,GERMANY,1810,43.61135,6.45075,2.3435
1838,HUNGARY,17,46.7108,8.172666667,2.449083333
1838,NORWAY,14,29.19275,-1.5595833330000002,2.5750833330000003
1838,POLAND,433,42.00845,5.56025,2.378166667
1838,SPAIN,7,56.1017,13.38983333,2.2793333330000003
1838,UNITED KINGDOM,20691,44.912,7.1733333329999995,2.426916667
1838,UNITED STATES,1373,45.5876,7.548666667000001,2.27475
1839,AUSTRIA,289,43.0013,6.111833333,1.771833333
1839,BELGIUM,1831,48.87725,9.37625,1.7661666669999998
