g_m_date,g_land_avg_tempf,g_land_avg_tempc,g_land_avg_temp_uncert,g_land_max_tempf,g_land_max_tempc,g_land_max_temp_uncert,g_land_min_tempf,g_land_min_tempc,g_land_min_temp_uncert,g_land_ocean_avg_tempf,g_land_ocean_avg_tempc,g_land_ocean_avg_temp_uncert
1859-05-01,52.6208,11.456,0.616,62.6378,17.021,1.236,41.498599999999996,5.277,1.77,60.5624,15.868,0.23800000000000002
1859-06-01,55.6556,13.142,0.514,64.91300000000001,18.285,2.2840000000000003,44.702600000000004,7.057,1.026,61.52,16.400000000000002,0.226
1859-07-01,56.8886,13.827,0.5670000000000001,66.9992,19.444000000000006,1.9680000000000002,46.129999999999995,7.85,0.737,61.6892,16.494,0.23399999999999999
1859-08-01,55.7906,13.217,0.46799999999999997,66.5618,19.201,1.673,46.336999999999996,7.964999999999999,0.8490000000000001,61.61,16.45,0.205
1859-09-01,51.944,11.079999999999998,0.365,61.6694,16.483,1.839,41.761399999999995,5.422999999999999,0.873,60.0602,15.589,0.204
1859-10-01,47.9012,8.834,0.638,57.623000000000005,14.235,1.945,37.3424,2.968,0.9079999999999999,59.1116,15.062000000000001,0.25
1859-11-01,42.641600000000004,5.912000000000001,0.5720000000000001,51.751400000000004,10.972999999999999,1.5190000000000001,31.9748,-0.014000000000000123,0.996,57.3692,14.094,0.244
1859-12-01,38.057,3.365,0.816,46.858999999999995,8.254999999999999,3.11,25.840400000000002,-3.4219999999999997,1.65,56.3234,13.513,0.287
1860-01-01,35.7386,2.077,0.86,49.5896,9.771999999999998,2.26,28.2938,-2.059,1.59,55.706,13.17,0.294
1860-02-01,36.7376,2.632,0.75,47.7446,8.747,2.3480000000000003,26.1824,-3.232,1.188,56.1632,13.424000000000001,0.275
1860-03-01,38.2892,3.494,0.87,53.2778,11.821,2.164,30.7148,-0.7140000000000001,1.146,56.6852,13.714,0.302
1860-04-01,45.968,7.76,0.46,56.3198,13.511,1.7209999999999999,35.249,1.805,1.295,58.74979999999999,14.860999999999999,0.209
1860-05-01,51.9116,11.062,0.7440000000000001,62.279600000000016,16.822000000000006,1.139,40.625600000000006,4.792000000000002,1.094,60.3644,15.758,0.276
